id,user_id,tree_id,comment_text,platform,sentiment,confidence,category,impact,water_drops,poison_drops,week_number
#######,#######,#######,"my favourite celebrity,",instagram,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,falta pouco pro natal amo que amo,twitter,neutral,0.5,Normal,1,0,0,3
#######,#######,#######,"Thank God, it great to see you.",twitter,positive,0.6,Normal,1,0,0,2
#######,#######,#######,lovely,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,💜💜💜💜,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,The  cutest angry face ever I love to see it ☺️,twitter,positive,0.6,Normal,3,3,0,1
#######,#######,#######,We love mommies,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,sad truth😿 yikho ukuthi ngeke sibuyeke,twitter,neutral,0.5,Normal,1,0,0,1
#######,#######,#######,Good to see you sir.,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,"Kindness and positiveness, looking awesome.",twitter,positive,0.6,Normal,3,3,0,2
#######,#######,#######,absolutely. God is good,twitter,positive,0.6,Normal,3,3,0,5
#######,#######,#######,lovely game I like it,twitter,positive,0.6,Normal,3,3,0,1
#######,#######,#######,trusted individual,instagram,neutral,0.5,Normal,2,0,0,6
#######,#######,#######,expectativa: botar o jogo em diarealidade: dormir cedo kkkk,twitter,neutral,0.5,Normal,1,0,0,6
#######,#######,#######,vumani bo,instagram,neutral,0.5,Normal,1,0,0,6
#######,#######,#######,"my favourite celebrity,",instagram,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,This tree is tenacious,twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,i woke up but wanted to sleep more,twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,you are loved,instagram,positive,0.6,Normal,3,3,0,5
#######,#######,#######,sgebengu lo beautiful,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,nice,instagram,positive,0.6,Normal,3,3,0,4
#######,#######,#######,"In my 30s, love how accurate this is",instagram,positive,0.6,Normal,3,3,0,1
